_step,epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
0,1,0.7070212570103732,51.81818181818182,0.6591969345297132,60.0,0.0001
1,2,0.6767464952035384,58.75,0.62370537008558,66.36363636363636,0.0001
2,3,0.6661954262039879,60.96590909090909,0.5990589771951947,67.04545454545455,0.0001
3,4,0.6504538059234619,63.80681818181818,0.5995058247021267,66.5909090909091,0.0001
4,5,0.6323579571463845,65.51136363636364,0.5757935834782464,67.27272727272727,0.0001
5,6,0.6094541836868633,67.1590909090909,0.5858713388442993,70.0,0.0001
6,7,0.6015699576247823,67.95454545454545,0.5766655994313103,69.77272727272727,0.0001
7,8,0.5949912071228027,67.95454545454545,0.5289676444871085,73.4090909090909,0.0001
8,9,0.5770668875087391,69.88636363636364,0.5362042507955006,72.5,0.0001
9,10,0.5707534540783276,70.79545454545455,0.5341426197971616,72.72727272727273,1e-05
10,11,0.5353817674246701,73.125,0.5312928450959069,71.5909090909091,1e-05
11,12,0.5242726851593364,75.2840909090909,0.5200675129890442,73.18181818181819,1e-05
12,13,0.526109644499692,74.26136363636364,0.5208390993731362,73.63636363636364,1e-05
13,14,0.5118186636404558,75.45454545454545,0.511161384837968,74.31818181818181,1e-05
14,15,0.5095218988982114,74.88636363636364,0.5142788227115359,73.4090909090909,1e-05
15,16,0.516743896224282,73.75,0.5079478451183864,74.77272727272727,1e-05
16,17,0.5087416155771776,75.11363636363636,0.5120927286999566,74.77272727272727,1e-05
17,18,0.5158987565474077,75.11363636363636,0.5014669852597373,76.13636363636364,1e-05
18,19,0.506493746692484,74.43181818181819,0.4963069260120392,77.27272727272727,1e-05
19,20,0.5023923911831596,75.05681818181819,0.4977342869554247,75.22727272727273,1.0000000000000002e-06
