_step,epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
0,1,1.2383643237027255,51.25,0.694405164037432,50.45454545454545,0.0001
1,2,1.1450492988933216,51.59090909090909,0.6864023336342403,52.27272727272727,0.0001
2,3,1.031287431716919,50.28409090909091,0.6999957604067666,49.31818181818182,0.0001
3,4,0.9431699763644825,50.73863636363637,0.688676484993526,51.81818181818182,0.0001
4,5,0.8751384095712141,52.32954545454545,0.6940546035766602,52.72727272727273,0.0001
5,6,0.8284713831814853,51.98863636363637,0.6860026504312243,53.40909090909091,0.0001
6,7,0.8120679432695562,51.70454545454545,0.6863746174744197,50.68181818181818,0.0001
7,8,0.7932655334472656,51.81818181818182,0.7017901028905597,50.0,0.0001
8,9,0.7869012789292769,51.13636363636363,0.6804250436169761,50.45454545454545,0.0001
9,10,0.7579564766450362,50.85227272727273,0.6825983098575047,51.59090909090909,1e-05
10,11,0.7577138055454601,50.96590909090909,0.6833818852901459,52.04545454545455,1e-05
11,12,0.745671744780107,53.23863636363637,0.6802391324724469,52.27272727272727,1e-05
