_step,epoch,train_loss,train_acc,val_loss,val_acc,learning_rate
0,1,0.7388610189611261,57.10227272727273,0.683386293905122,62.5,0.0001
1,2,0.6719342025843533,64.48863636363636,0.6849213114806584,60.45454545454545,0.0001
2,3,0.5655657161365856,71.64772727272727,0.57903853058815,71.36363636363636,0.0001
3,4,0.5134408371015029,73.86363636363636,0.5994779020547867,70.68181818181819,0.0001
4,5,0.44321596893397247,80.0,0.6493612016950335,71.36363636363636,0.0001
5,6,0.3855727417902513,82.10227272727273,0.6679252556392125,71.81818181818181,0.0001
6,7,0.3228451457890597,86.13636363636364,0.6561624982527324,71.36363636363636,0.0001
7,8,0.25736336802894416,89.54545454545455,0.6519856729677745,73.86363636363636,0.0001
8,9,0.22161754261363636,91.02272727272727,0.6685864712510791,72.04545454545455,0.0001
9,10,0.20254450196569615,92.55681818181819,0.8888187110424042,69.77272727272727,1e-05
10,11,0.13695758377963846,95.2840909090909,0.6817228645086288,73.86363636363636,1e-05
11,12,0.09541337490081787,97.04545454545455,0.6542780995368958,75.0,1e-05
12,13,0.07416385733945803,98.01136363636364,0.6537887092147555,75.0,1e-05
13,14,0.08085199448872696,97.7840909090909,0.6885602452925274,74.54545454545455,1e-05
14,15,0.0680603416128592,98.125,0.6787520604474204,74.31818181818181,1e-05
15,16,0.06612377498637546,98.18181818181819,0.6779451944998333,74.0909090909091,1e-05
16,17,0.06216934604400938,98.29545454545455,0.6523569439138684,74.31818181818181,1e-05
17,18,0.04653846675699407,99.0340909090909,0.7034975992781776,74.54545454545455,1e-05
18,19,0.04653670804744417,98.92045454545455,0.7204761590276446,74.0909090909091,1e-05
19,20,0.04194159387526187,98.97727272727273,0.7463755863053458,73.4090909090909,1.0000000000000002e-06
